	"10_6_5_11" "9_6_5_11" "purep53" "JMS8-2" "JMS8-3" "JMS8-4" "JMS8-5" "JMS9-P7c" "JMS9-P8c"
"1700066M21Rik" 82 43 282 186 117 134 244 26 32
"Tyw5" 250 300 473 292 502 455 476 267 189
"Maip1" 532 655 1002 778 1356 1058 829 383 378
"Spats2l" 198 701 2381 2898 1400 358 2435 429 205
"Kctd18" 206 381 371 452 684 324 413 301 172
"Sgo2a" 71 53 577 329 96 83 282 47 59
"Aox1" 100 683 802 727 870 289 931 475 186
"Aox3" 8 16 16 17 35 73 27 5 18
"Aox4" 8 8 5 3 20 31 12 2 3
"Aox2" 27 36 3 4 59 92 4 10 8
"Bzw1" 8010 8983 19951 14591 23534 20494 19906 5491 5557
"Clk1" 11255 8942 15682 9037 12854 13233 13029 10000 8146
"Ppil3" 299 417 876 705 790 477 520 209 174
"Nif3l1" 253 446 709 728 1078 593 592 304 165
"Orc2" 503 716 1823 1746 1735 1053 1706 544 339
"Gm15834" 13 10 5 4 12 13 11 5 4
"Fam126b" 971 849 634 382 1435 1585 753 622 646
"Ndufb3" 559 1304 1714 957 1752 890 796 598 368
"Gm20257" 38 29 96 72 111 90 90 36 39
"Als2cr12" 3 3 3 1 3 0 4 1 0
"Cflar" 2147 2548 4640 4230 6025 4362 6895 1986 1591
"Casp8" 648 1549 1498 1086 3049 1365 1440 1006 596
"Trak2" 2656 2679 8898 7925 7694 6517 9953 1680 1677
"Stradb" 93 191 499 355 321 168 398 109 68
"Als2cr11" 0 1 0 3 2 0 2 0 0
"Tmem237" 179 238 1244 1180 639 339 981 151 118
"Mpp4" 6 6 40 53 23 20 51 4 6
"Als2" 1099 1235 3829 3163 3046 2447 4278 727 681
"Cdk15" 0 2 39 71 0 2 44 0 0
"Fzd7" 1509 1239 12705 17406 2024 1864 7968 575 661
"Gm973" 27 33 21 21 74 57 24 22 19
"Sumo1" 1296 1407 2243 1826 3409 2371 2098 1032 822
"Nop58" 4442 4687 30546 20775 14008 10574 32831 5887 4300
"Snord70" 7 8 12 7 9 5 23 13 8
"Snord11" 2 2 7 4 2 4 4 0 2
"Bmpr2" 2101 2314 5035 4281 5175 4046 8001 1556 1212
"100504533" 74 144 359 302 310 238 516 120 66
"Fam117b" 1239 847 2968 2954 2965 2932 3160 575 914
"Ica1l" 16 11 81 103 29 51 86 10 14
"Wdr12" 277 302 1133 811 751 522 777 180 181
"Carf" 128 111 235 165 214 200 249 102 90
"Gm15464" 27 59 61 80 107 69 67 10 9
"Nbeal1" 1836 2606 3252 2814 4374 3997 4958 2280 1493
"Cyp20a1" 686 737 735 769 1829 1168 593 452 397
"Abi2" 661 849 3412 2955 2169 1558 2915 574 438
"Raph1" 2828 1315 3267 3322 4625 6229 4654 663 1642
"100043027" 8 28 20 9 21 10 7 6 8
"Gm11578" 8 4 10 10 26 17 8 1 6
"Cd28" 1 3 4 3 5 0 7 5 1
"Gm11579" 0 0 0 0 0 0 0 0 0
"Ctla4" 0 5 7 9 2 0 6 1 1
"Icos" 1 0 2 1 3 0 6 1 1
"9530026F06Rik" 0 0 0 0 0 0 0 0 0
"Pard3b" 723 329 1064 1263 1141 1027 1266 165 337
"Nrp2" 94 69 2459 1433 346 271 1990 224 96
"4930487H11Rik" 1 0 16 12 4 2 23 1 2
"Ino80d" 5442 3698 4932 4695 9339 10278 6978 2621 3070
"Ino80dos" 61 60 87 76 86 99 106 40 34
"Gm20342" 21 10 16 26 30 46 23 10 7
"Ndufs1" 1260 2576 5116 3945 5201 2788 3953 1583 956
"Eef1b2" 24486 27636 42750 34218 62102 43188 33973 14682 14747
"Snora41" 47 38 112 65 66 86 75 27 50
"Gpr1" 15 9 4 12 6 15 22 6 6
"Zdbf2" 90 108 597 517 599 508 943 62 50
"Adam23" 18 41 199 128 30 234 185 11 45
"Dytn" 0 0 0 0 2 0 0 0 0
"Mdh1b" 0 3 2 9 1 0 5 1 0
"Fastkd2" 752 886 1674 1476 1962 1525 1264 572 496
"4933402D24Rik" 5 4 10 10 15 13 11 4 2
"Gm13749" 4 0 0 1 2 2 4 1 1
"Klf7" 1645 398 618 671 868 1257 694 269 1132
"Creb1" 2328 2453 3905 2641 4511 3810 3572 1811 1324
"Mettl21a" 108 342 488 520 521 190 331 232 108
"2810408I11Rik" 27 28 117 92 73 72 60 20 18
"Ccnyl1" 418 345 2083 2475 1324 1387 2132 287 241
"Fzd5" 2858 1427 4702 5957 3872 4606 2989 929 1209
"Plekhm3" 363 560 1541 1909 1380 676 1608 435 275
"Akr1cl" 0 0 0 1 0 4 0 0 0
"Gm8550" 29 29 61 54 51 44 57 17 25
"Cryge" 0 0 0 0 0 0 0 0 0
"Crygd" 0 0 0 0 0 0 0 0 0
"Crygc" 0 0 0 0 0 0 0 0 0
"Crygb" 0 0 0 0 0 0 0 0 0
"Cryga" 0 0 0 0 0 0 1 0 0
"D630023F18Rik" 3 0 20 15 1 1 26 0 1
"Idh1" 963 1025 2602 2263 2502 2491 2236 539 618
"Pikfyve" 1077 1295 2002 1614 2717 2461 2758 1022 763
"Pth2r" 0 1 4 3 2 1 1 0 0
